
Weather Data:
Gateway,Relative humidity,Radiation,Module temperature,Wind speed,Wind direction,Ambient temperature,PowerstationID,Time(GMT 1)
Weekly Report
Project Overview
Site Name:,XXX,Total Energy:,"3003.00kWh",Weekly electricity:,"10.00kWh"
System Size:,"3kWp",Time:,"Nov.19,2018/Nov.25,2018"

Summary
Inverter,"'110BCD0171231EF"
Inverter,Vpv1,Vpv2,Ipv1,Ipv2,Vac1,Vac2,Vac3,Iac1,Iac2,Iac3,Pac,Fac,Temperature(℃),Time(GMT +1),Today's Energy(kWh),Total Energy(kWh)
"'110B987CD123056","332.60","1.60","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.00","0.00","49.98","18.50","Nov.19 08:14,2018","0.0","2993.00"
"'110B987CD123056","267.50","1.60","0.10","0.00","0.00","0.00","239.60","0.00","0.00","0.00","0.00","49.98","18.60","Nov.19 08:16,2018","0.0","2993.00"
"'110B987CD123056","193.60","1.50","0.10","0.00","0.00","0.00","240.60","0.00","0.00","0.00","0.00","50.00","18.70","Nov.19 08:19,2018","0.0","2993.00"
"'110B987CD123056","340.20","1.70","0.10","0.00","0.00","0.00","240.20","0.00","0.00","0.00","0.00","49.97","18.70","Nov.19 08:20,2018","0.0","2993.00"
"'110B987CD123056","341.40","1.70","0.10","0.00","0.00","0.00","239.90","0.00","0.00","0.00","0.00","49.98","18.80","Nov.19 08:21,2018","0.0","2993.00"
"'110B987CD123056","358.20","1.70","0.10","0.00","0.00","0.00","238.30","0.00","0.00","0.00","0.00","50.01","18.90","Nov.19 08:23,2018","0.0","2993.00"
"'110B987CD123056","334.10","1.80","0.10","0.00","0.00","0.00","237.60","0.00","0.00","0.00","0.00","49.99","19.00","Nov.19 08:25,2018","0.0","2993.00"
"'110B987CD123056","355.70","1.70","0.10","0.00","0.00","0.00","238.60","0.00","0.00","0.00","0.00","49.98","19.10","Nov.19 08:27,2018","0.0","2993.00"
"'110B987CD123056","385.80","1.70","0.10","0.00","0.00","0.00","236.90","0.00","0.00","0.00","0.00","49.97","19.30","Nov.19 08:29,2018","0.0","2993.00"
"'110B987CD123056","75.00","2.00","0.00","0.00","0.00","0.00","236.90","0.00","0.00","0.70","0.0","49.98","19.80","Nov.19 08:34,2018","0.0","2993.00"
